unique_id,gender,race,gpa,act_score,household_income,decision
8002,F,hispanic or latino,3.4309999999999996,35,136145.29,0
1016,F,white,3.11,30,118419.0,0
8590,F,black or african american,3.6765,34,161223.93,0
8090,F,white,3.07,32,71463.0,0
787,F,black or african american,2.9924999999999997,34,48899.97,0
1603,M,white,3.83,n/a,69323.0,1
19013,M,white,3.18,n/a,182197.0,0
5421,M,hispanic or latino,3.0362,36,69129.47,0
16125,M,white,3.82,33,172265.0,0
15188,M,hispanic or latino,3.0738,32,106734.75,1
7392,F,asian,3.3915,36,133814.92,0
6518,M,hispanic or latino,3.008,n/a,91171.81999999999,1
7178,F,asian,3.969,33,203472.72,0
16598,F,hispanic or latino,3.3087999999999997,29,89407.7,0
8465,F,hispanic or latino,3.6566,31,61850.95,0
2117,M,white,3.46,30,52784.0,0
558,F,asian,4.0635,32,114006.40000000001,0
12591,M,white,3.14,34,250952.0,0
17148,M,asian,3.9899999999999998,33,174992.28,0
4706,F,white,3.8,35,226130.0,0
12327,F,white,3.94,33,162068.0,1
5399,F,white,3.56,30,83704.0,0
11558,F,asian,3.3390000000000004,n/a,151700.64,1
7179,M,asian,3.9165,30,266498.24,0
18666,M,asian,3.633,n/a,279286.24,0
1057,F,white,3.66,31,204862.0,0
7839,M,white,3.7,35,94762.0,0
16277,F,black or african american,2.8594999999999997,n/a,30673.44,0
3470,M,hispanic or latino,2.8388,35,168979.76,1
8602,F,asian,3.5595000000000003,32,439403.04000000004,1
6223,F,hispanic or latino,3.6942,32,61634.4,0
9347,M,white,3.64,34,201516.0,1
1107,M,white,3.57,n/a,97466.0,0
4115,F,white,3.63,n/a,212051.0,0
12108,M,asian,3.633,n/a,124733.6,0
11389,M,white,3.79,34,121224.0,0
4204,M,hispanic or latino,3.1113999999999997,34,84023.84,0
793,M,white,3.18,34,141197.0,0
14640,F,white,3.81,33,53637.0,1
8685,M,white,3.51,32,89515.0,0
19626,F,white,3.78,29,104867.0,0
11962,M,white,3.21,30,93832.0,0
3979,F,asian,4.0215000000000005,33,153916.92,0
3052,M,asian,3.2655,29,61739.36,1
13324,F,white,3.44,34,140296.0,0
7768,F,white,3.91,34,168298.0,0
13381,M,black or african american,3.6195,35,166524.12,0
13139,M,white,3.08,n/a,156518.0,1
14902,M,asian,3.2550000000000003,35,167023.24000000002,0
4354,F,hispanic or latino,3.1677999999999997,34,51075.909999999996,0
13517,M,white,3.37,31,181600.0,0
849,F,white,3.14,34,180608.0,1
15151,F,white,3.13,34,77541.0,1
19892,F,hispanic or latino,2.8482,34,93165.3,0
9931,M,white,3.32,32,232038.0,0
5219,M,hispanic or latino,3.6754,32,38002.39,0
2997,F,white,3.68,30,126215.0,0
13866,F,white,3.65,33,309016.0,0
17269,M,black or african american,3.078,n/a,66114.09,0
1196,M,hispanic or latino,3.4497999999999998,30,84206.23,0
9857,M,asian,3.6015,n/a,74052.64,0
10646,M,asian,4.032,33,119306.52,0
17932,F,asian,3.213,n/a,81266.36,0
17795,F,white,3.37,34,56761.0,0
16294,M,white,3.61,34,188689.0,0
16904,M,white,3.17,n/a,62588.0,0
4380,F,hispanic or latino,3.1771999999999996,n/a,54421.76,0
8542,F,hispanic or latino,3.1771999999999996,32,48045.43,1
8545,M,white,3.78,35,231739.0,0
12209,M,white,3.49,35,115385.0,0
16359,M,white,3.3,n/a,96018.0,0
19396,M,white,3.14,34,112404.0,0
18591,M,white,3.44,n/a,360914.0,0
13830,F,hispanic or latino,3.2523999999999997,34,41999.72,0
3714,M,white,3.78,33,131843.0,0
17576,F,white,3.04,34,165125.0,1
15955,F,white,3.02,n/a,263845.0,0
17474,M,hispanic or latino,2.8293999999999997,31,118032.56,0
19932,M,hispanic or latino,2.8575999999999997,36,68684.78,1
18369,M,asian,3.7380000000000004,30,104534.08,0
3179,M,white,3.94,n/a,86680.0,0
7816,M,white,3.98,31,74298.0,1
5284,F,asian,3.1710000000000003,33,119623.0,1
10696,M,white,3.33,30,111137.0,0
2749,F,asian,4.032,33,129095.32,0
8641,F,white,3.23,31,148854.0,1
5741,F,white,3.62,n/a,128816.0,0
15617,F,hispanic or latino,3.2054,33,100929.38,0
17929,F,black or african american,3.2775,35,53800.11,1
9746,M,asian,4.168500000000001,34,174695.12,0
738,M,hispanic or latino,3.2054,36,70429.99,0
8285,M,white,3.34,34,105452.0,0
19325,F,asian,3.4965,34,136483.84,0
18364,F,hispanic or latino,3.5343999999999998,31,41398.26,0
561,F,white,3.37,n/a,133490.0,0
4282,M,asian,3.6750000000000003,32,51925.72,1
14948,F,asian,3.2235,32,63242.64,1
18130,M,asian,3.9585000000000004,34,60189.16,0
18529,M,white,3.01,33,387410.0,0
16925,F,white,3.41,30,65685.0,0
5688,M,white,3.01,33,172419.0,1
17152,F,white,3.5,34,209376.0,1
18142,M,white,3.18,n/a,46366.0,1
1274,M,hispanic or latino,3.3651999999999997,34,110810.77,0
17696,F,asian,4.0635,30,190337.88,0
275,M,white,3.38,n/a,60283.0,0
17643,F,hispanic or latino,3.4686,n/a,93826.54,0
19178,M,asian,3.549,34,107292.24,0
13979,M,asian,3.423,34,79635.2,0
9146,M,asian,4.1370000000000005,33,96165.76000000001,0
18897,F,white,3.26,34,80573.0,0
19329,M,white,3.57,33,45665.0,0
8086,M,hispanic or latino,3.3087999999999997,35,35003.02,0
19447,M,white,3.7,n/a,126378.0,0
18229,F,hispanic or latino,3.1302,n/a,68057.7,0
16765,M,white,3.31,34,164006.0,1
4343,F,hispanic or latino,3.29,n/a,60623.63,0
1159,M,asian,3.9899999999999998,36,78669.2,0
4249,M,asian,3.6015,34,102943.40000000001,0
11367,F,white,3.71,32,223370.0,1
16823,M,asian,3.4859999999999998,34,108259.16,0
18284,F,hispanic or latino,3.3181999999999996,36,80034.44,0
15029,M,asian,3.8220000000000005,31,137186.72,0
15894,M,asian,3.4545000000000003,32,205080.88,0
11784,F,asian,3.8535,30,57946.200000000004,0
11640,M,black or african american,3.0115,n/a,66461.22,1
16341,F,white,3.79,31,123574.0,0
4517,F,white,3.86,35,660678.0,0
4103,M,asian,3.4020000000000006,31,96708.56,0
6519,M,black or african american,3.762,29,60699.87,0
4127,M,black or african american,3.1825,32,395833.41,0
6511,M,black or african american,3.7239999999999998,29,101002.86,1
14218,F,white,3.04,n/a,140577.0,0
13016,M,black or african american,3.287,n/a,179460.54,0
7539,M,white,3.07,31,59808.0,0
6811,F,hispanic or latino,2.9704,34,70812.45999999999,1
10619,M,white,3.25,31,89112.0,0
11895,F,white,3.02,36,149619.0,0
2095,M,white,3.37,35,129238.0,0
514,M,asian,3.6015,34,143098.64,0
383,F,white,3.35,n/a,169786.0,0
17778,M,white,3.93,34,111786.0,0
3639,F,white,3.8,35,98158.0,0
1631,F,hispanic or latino,3.6378,34,113051.3,0
16822,F,black or african american,2.9545,n/a,21863.52,0
4189,M,asian,4.1475,33,76877.04000000001,0
9852,M,black or african american,3.1729999999999996,n/a,29196.09,0
2461,F,white,3.6,29,395489.0,0
12669,F,hispanic or latino,3.1866,n/a,138509.65,0
18073,M,hispanic or latino,3.2335999999999996,n/a,163996.06,0
1165,F,asian,3.2550000000000003,29,91287.92,1
19885,M,white,3.75,n/a,86800.0,0
6390,F,white,3.57,34,162938.0,0
37,F,black or african american,3.5435,32,79278.57,0
1398,F,white,3.31,n/a,82371.0,0
6603,F,asian,3.717,31,87819.52,0
19815,M,hispanic or latino,3.7224,32,188833.43,0
7883,F,hispanic or latino,3.5531999999999995,34,140985.63999999998,0
19259,F,white,3.92,29,83195.0,0
18765,F,asian,3.9375,34,80488.04000000001,0
2040,M,black or african american,2.8594999999999997,33,109281.06,0
5990,F,hispanic or latino,3.243,n/a,45831.74,0
3352,M,hispanic or latino,3.5531999999999995,34,75900.47,1
5051,M,black or african american,2.9924999999999997,n/a,107891.28,0
12734,M,hispanic or latino,3.2054,32,117151.72,0
5004,F,white,3.96,34,67803.0,0
5720,M,asian,3.8745000000000003,36,83274.72,1
3478,M,hispanic or latino,3.7224,34,99712.43,1
19992,F,hispanic or latino,3.1677999999999997,29,51602.34,0
10942,M,white,3.4,29,84594.0,0
0,M,black or african american,3.1159999999999997,34,41945.4,0
8019,F,black or african american,3.059,31,82507.95,0
8584,M,asian,3.4545000000000003,n/a,133238.08000000002,0
3281,M,white,3.01,29,173379.0,0
3669,M,white,3.74,30,188596.0,0
11315,M,white,3.76,30,252877.0,1
10686,M,asian,4.000500000000001,34,168814.48,0
3521,F,white,3.68,32,135620.0,1
5103,M,white,3.78,32,130828.0,0
1304,F,white,3.11,n/a,200425.0,0
16153,F,white,3.77,32,120832.0,0
4279,F,asian,4.032,32,191524.68000000002,0
11732,M,white,3.7,32,66561.0,1
19480,M,hispanic or latino,3.1395999999999997,30,275824.92,0
11600,M,asian,3.9585000000000004,35,100450.2,0
17480,F,white,3.17,35,101859.0,0
10043,F,white,3.19,n/a,163810.0,0
12115,F,hispanic or latino,3.6002,30,55554.53,0
11009,F,black or african american,2.9924999999999997,n/a,68342.4,0
1870,F,asian,3.9060000000000006,35,121849.40000000001,0
19406,F,hispanic or latino,3.2242,33,58216.57,0
14598,M,white,3.39,n/a,251780.0,0
7985,F,asian,3.4020000000000006,34,60158.8,0
15079,F,white,3.06,33,229984.0,0
18393,F,white,3.88,33,223486.0,0
5177,M,black or african american,3.1159999999999997,34,143553.69,0
12893,F,black or african american,3.61,34,88212.6,0
6939,F,white,3.88,n/a,147332.0,0
13344,M,hispanic or latino,3.3369999999999997,n/a,52467.93,0
2266,F,asian,3.3705000000000003,34,80689.52,1
9067,F,white,3.77,34,106715.0,1
16903,M,asian,4.1475,33,140496.88,0
7837,F,white,3.35,30,37156.0,1
6332,M,asian,3.5805000000000002,35,45145.32,1
16447,M,white,3.41,33,154219.0,0
9201,F,asian,3.2760000000000002,32,169316.80000000002,0
5934,F,asian,4.095,36,61858.04,0
16049,M,white,3.61,32,106769.0,0
5281,F,black or african american,3.0494999999999997,33,50716.89,0
