Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,337.0,118,4,4.5,4.5,9.65,1,0.92
2,324.0,107,4,4.0,4.5,8.87,1,0.76
3,316.0,104,3,3.0,3.5,8.0,1,0.72
4,322.0,110,3,3.5,2.5,13.5,1,0.8
5,999.0,103,2,2.0,3.0,8.21,0,0.65
6,330.0,unknown,5,4.5,3.0,9.34,1,0.9
7,321.0,109,3,3.0,4.0,8.2,1,0.75
8,308.0,101,2,3.0,4.0,7.9,0,0.68
9,302.0,102,1,2.0,1.5,8.0,0,0.5
10,323.0,108,3,3.5,3.0,8.6,0,0.45
11,325.0,106,3,3.5,4.0,8.4,1,0.52
12,327.0,111,4,4.0,4.5,9.0,1,0.84
13,328.0,112,4,4.0,4.5,9.1,1,0.78
14,307.0,109,3,4.0,3.0,8.0,0,0.62
15,311.0,104,3,3.5,2.0,8.2,1,0.61
16,314.0,105,3,3.5,2.5,8.3,0,0.54
17,317.0,107,3,4.0,3.0,8.7,0,0.66
18,319.0,106,3,4.0,3.0,8.0,1,0.65
19,318.0,110,3,4.0,3.0,8.8,0,0.63
20,303.0,102,3,3.5,3.0,8.5,0,0.62
21,312.0,107,3,3.0,2.0,7.9,1,0.64
22,325.0,114,4,3.0,2.0,8.4,0,0.7
23,328.0,116,5,5.0,5.0,9.5,1,0.94
24,334.0,119,5,5.0,4.5,9.7,1,0.95
25,336.0,119,5,4.0,3.5,9.8,1,0.97
26,340.0,120,5,4.5,4.5,9.6,1,0.94
27,322.0,109,5,4.5,3.5,8.8,0,0.76
28,298.0,98,2,1.5,2.5,7.5,1,0.44
29,295.0,93,1,2.0,2.0,7.2,0,0.46
30,310.0,99,2,1.5,2.0,7.3,0,0.54
31,300.0,97,2,3.0,3.0,8.1,1,0.65
32,327.0,103,3,4.0,4.0,8.3,1,0.74
33,338.0,118,4,3.0,4.5,9.4,1,0.91
34,340.0,114,5,4.0,4.0,9.6,1,0.9
35,331.0,112,5,4.0,5.0,9.8,1,0.94
36,320.0,110,5,5.0,5.0,9.2,2,0.88
37,299.0,106,2,4.0,4.0,8.4,0,0.64
38,300.0,105,1,1.0,2.0,7.8,0,0.58
39,304.0,105,1,3.0,1.5,7.5,0,0.52
40,307.0,108,2,4.0,3.5,7.7,0,0.48
41,308.0,110,3,3.5,3.0,8.0,1,0.46
42,316.0,105,2,2.5,2.5,8.2,,0.49
43,313.0,107,2,2.5,2.0,8.5,1,0.53
44,332.0,117,4,4.5,4.0,9.1,0,0.87
45,326.0,113,5,4.5,4.0,9.4,1,0.91
46,322.0,110,5,5.0,4.0,9.1,1,0.88
47,329.0,114,5,4.0,5.0,9.3,1,0.86
48,339.0,119,5,4.5,4.0,9.7,0,0.89
49,321.0,110,3,3.5,5.0,8.85,1,0.82
