School,Program,Result,Result_Date,GPA,Verbal_GRE,Quant_GRE,Writing_GRE,Subject_GRE,Status,Submit_Date,Result_Day,Result_Month,Result_Year,Submit_Day,Submit_Month,Submit_Year,Degree_Type
University Of South Carolina,"Statistics, Masters (F14)",Rejected,22 Feb 2014,,,,,,,22 Feb 2014,22,Feb,2014,22,Feb,2014,Masters
Iowa State,"Statistics, PhD (F14)",Accepted,22 Feb 2014,3.6499999999999999,153.0,168.0,3.0,,I,22 Feb 2014,22,Feb,2014,22,Feb,2014,Phd
Arizona State  University,"Statistics, PhD (F14)",Accepted,10 Feb 2014,3.8900000000000001,166.0,163.0,4.0,,A,22 Feb 2014,10,Feb,2014,22,Feb,2014,Phd
University Of Chicago,"Statistics, PhD (F14)",Accepted,21 Feb 2014,,,,,,,22 Feb 2014,21,Feb,2014,22,Feb,2014,Phd
University Of Chicago,"Statistics, PhD (F14)",Accepted,22 Feb 2014,3.8399999999999999,162.0,169.0,3.5,98.0,I,22 Feb 2014,22,Feb,2014,22,Feb,2014,Phd
Carnegie Mellon,"Statistics, PhD (F14)",Rejected,14 Feb 2014,,,,,,,21 Feb 2014,14,Feb,2014,21,Feb,2014,Phd
University Of Florida,"Statistics, PhD (F14)",Accepted,21 Feb 2014,4.0,164.0,164.0,3.5,,U,21 Feb 2014,21,Feb,2014,21,Feb,2014,Phd
Bowling Green State University,"Statistics, Masters (F14)",Accepted,21 Feb 2014,,,,,,,21 Feb 2014,21,Feb,2014,21,Feb,2014,Masters
University Of Minnesota,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,,,,,,21 Feb 2014,20,Feb,2014,21,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Rejected,20 Feb 2014,,162.0,165.0,4.5,,A,21 Feb 2014,20,Feb,2014,21,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Rejected,20 Feb 2014,,162.0,165.0,4.5,,A,21 Feb 2014,20,Feb,2014,21,Feb,2014,Phd
University Of Texas At Austin,"Statistics, Masters (F14)",Accepted,20 Feb 2014,3.6000000000000001,156.0,163.0,4.5,,A,21 Feb 2014,20,Feb,2014,21,Feb,2014,Masters
Penn State University,"Statistics, PhD (F14)",Accepted,8 Feb 2014,,,,,,,21 Feb 2014,8,Feb,2014,21,Feb,2014,Phd
"University Of Michigan, Ann Arbor","Applied Statistics, Masters (F14)",Accepted,19 Feb 2014,,,,,,,21 Feb 2014,19,Feb,2014,21,Feb,2014,Masters
UC Berkeley,"Statistics, PhD (F14)",Rejected,21 Feb 2014,3.6499999999999999,153.0,168.0,3.0,,I,21 Feb 2014,21,Feb,2014,21,Feb,2014,Phd
University Of Missouri,"Statistics, PhD (F14)",Accepted,20 Feb 2014,,,,,,,21 Feb 2014,20,Feb,2014,21,Feb,2014,Phd
ETH Zurich,"Statistics, Masters (F14)",Accepted,21 Feb 2014,3.8599999999999999,153.0,169.0,3.5,,I,21 Feb 2014,21,Feb,2014,21,Feb,2014,Masters
University Of Texas At Austin,"Statistics, Masters (F14)",Accepted,21 Feb 2014,3.6499999999999999,157.0,167.0,3.5,,U,21 Feb 2014,21,Feb,2014,21,Feb,2014,Masters
Univ Of Florida,"Statistics, PhD (F14)",Rejected,21 Feb 2014,3.6499999999999999,147.0,168.0,3.0,,I,21 Feb 2014,21,Feb,2014,21,Feb,2014,Phd
UC Berkeley,"Statistics, PhD (F14)",Accepted,11 Feb 2014,3.9900000000000002,170.0,157.0,4.5,,A,21 Feb 2014,11,Feb,2014,21,Feb,2014,Phd
NCSU,"Statistics, Masters (F14)",Rejected,21 Feb 2014,3.27,152.0,170.0,3.0,,I,21 Feb 2014,21,Feb,2014,21,Feb,2014,Masters
KU Leuven,"Statistics, Masters (F14)",Accepted,17 Feb 2014,3.8500000000000001,159.0,162.0,4.0,,I,21 Feb 2014,17,Feb,2014,21,Feb,2014,Masters
University Of Virginia,"Ms In Statistics, Masters (F14)",Accepted,21 Feb 2014,,,,,,,21 Feb 2014,21,Feb,2014,21,Feb,2014,Masters
"University Of Michigan, Ann Arbor","Statistics, PhD (F14)",Rejected,21 Feb 2014,3.6400000000000001,152.0,168.0,3.0,,I,21 Feb 2014,21,Feb,2014,21,Feb,2014,Phd
