school,program,decision,GPA,GRE,GRE_AW
University at Buffalo-SUNY,Mechanical And Aerospace Engineering,Rejected,3.52,319.0,3.5
Rensselaer Polytechnic Institute,Biomedical Engineering,Rejected,3.43,165.0,4.0
University of Maryland Baltimore County,Computer Science,Accepted,3.92,326.0,4.0
Purdue University,Management,Rejected,3.97,325.0,4.0
University of Illinois Urbana-Champaign,Mechanical Engineering,Rejected,3.97,317.0,4.5
University of California (UCLA),Computer Science,Rejected,3.8,326.0,4.5
Indiana University Bloomington,Public Affairs,Accepted,3.6,315.0,3.5
Carnegie Mellon University,MSPPM-DA,Accepted,3.83,158.0,4.0
University of Chicago,Public Policy,Accepted,3.83,158.0,4.0
Pennsylvania State University,Informatics,Accepted,3.31,338.0,4.0
Iowa State University,Mechanical Engineering,Rejected,3.52,319.0,3.5
Rensselaer Polytechnic Institute,Management,Rejected,3.81,330.0,4.0
Temple University,Mechanical Engineering,Accepted,3.64,161.0,3.5
columbia uni,da,Rejected,3.75,170.0,5.0
University of North Texas (UNT),Mathematics,Rejected,3.4,327.0,3.5
Texas A&M University - College Station,Mechanical Engineering,Accepted,3.7,312.0,99.99
Michigan State University,Economics,Accepted,3.9,166.0,5.5
Arizona State University,Economics,Rejected,3.58,330.0,4.5
New York University Courant,Computer Science,Accepted,3.5,324.0,99.99
Rice University,Organizational Behavior,Rejected,4.0,317.0,4.0
Michigan State University,Economics,Wait,3.9,166.0,5.5
University of Michigan - Ann Arbor,Applied Statistics,Accepted,3.39,167.0,5.0
Stanford University,Economics,Accepted,3.64,168.0,4.5
University of Missouri,Mathematics,Wait,3.4,327.0,3.5
University of California (UCLA),Public Policy,Accepted,3.75,328.0,5.5
University of Michigan,Mechanical Engineering,Accepted,3.7,323.0,4.0
University of Texas,Mechanical Engineering,Rejected,3.7,323.0,4.0
University of California,industrial en,Accepted,3.98,165.0,3.5
University of California,Industrial Engineering,Accepted,3.98,165.0,3.5
Geneva Graduate Institute,Economics,Accepted,3.8,323.0,4.0
Yale University,Economics,Rejected,3.8,323.0,4.0
Stanford University,Statistics,Rejected,4.0,338.0,5.0
ETH Zurich,Energy science and technology,Accepted,3.33,165.0,3.5
Montclair State University,Speech Language Pathology,Rejected,3.16,311.0,5.0
University of Michigan,Mechanical Engineering,Rejected,3.9,323.0,4.0
Columbia University,Curriculum and Teaching,Accepted,3.4,321.0,5.5
Johns Hopkins University,Education,Accepted,3.3,309.0,5.0
London School of Economics and Political Science (LSE),Economics,Accepted,3.83,168.0,5.0
Washington University in St. Louis (WashU/WUSTL),Political Science,Rejected,3.66,329.0,4.0
University of Pennsylvania,Political Science,Rejected,3.66,329.0,4.0
